CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
1        2.0e-04  libpthread-2.17.so       libpthread-2.17.so       pthread_mutex_init
1        2.0e-04  libpthread-2.17.so       libpthread-2.17.so       pthread_rwlock_unlock
1        2.0e-04  libselinux.so.1          libselinux.so.1          /usr/lib64/libselinux.so.1
1        2.0e-04  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Bin::moveBlockToFront(rml::internal::Block*)
1        2.0e-04  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::MapMemory(unsigned long, rml::internal::PageType)
1        2.0e-04  pcscd                    pcscd                    /usr/sbin/pcscd
1        2.0e-04  pickup                   pickup                   /usr/libexec/postfix/pickup
1        2.0e-04  server                   server                   ListenerHTSearch
1        2.0e-04  server                   server                   eal_parse_sysfs_value
1        2.0e-04  server                   server                   i40e_clear_hw
1        2.0e-04  server                   server                   i40e_read_rx_ctl
1        2.0e-04  server                   server                   rte_pktmbuf_init
1        2.0e-04  sshd                     sshd                     /usr/sbin/sshd
1        2.0e-04  timemodule.so            timemodule.so            /usr/lib64/python2.7/lib-dynload/timemodule.so
